"Rolling_time_month" "q_id_month"
201301 1
201302 1.7
201303 1.1
201304 1.2
201305 0.9
201306 0.7
201307 1
201308 1.3
201309 1.3
201310 0.7
201311 0.9
201312 1.7
201401 1
201402 1.4
201403 1.1
201404 1.2
201405 1.2
201406 1.4
201407 1.2
201408 1
201409 1.2
201410 1.1
201411 1
201412 1
201501 1
201502 0.7
201503 0.9
201504 0.7
201505 0.6
201506 0.6
201507 1
201508 0.6
201509 0.9
201510 0.8
201511 1.2
201512 0.8
201601 0.7
201602 0.8
201603 0.8
201604 0.6
201605 0.9
201606 0.8
201607 0.7
201608 0.8
201609 0.8
201610 0.5
201611 0.4
201612 0.8
201701 0.7
201702 0.8
201703 0.9
201704 0.5
201705 0.8
201706 0.8
201707 0.9
201708 0.9
201709 0.7
201710 0.6
201711 0.7
201712 0.6
201801 1.1
201802 0.6
201803 0.7
201804 0.8
201805 0.5
201806 0.8
201807 0.7
201808 0.8
201809 0.7
201810 0.6
201811 0.6
201812 0.6
201901 0.6
201902 0.6
201903 0.6
201904 0.7
201905 0.5
201906 0.6
201907 0.6
201908 0.8
201909 0.9
201910 0.5
201911 0.5
201912 0.6
202001 0.8
202002 0.7
202003 0.4
202004 0.8
202005 0.9
202006 0.8
202007 0.6
202008 0.7
202009 1
202010 0.6
202011 0.6
202012 0.6
202101 0.5
202102 0.5
202103 0.9
202104 0.9
202105 0.7
202106 0.5
202107 0.5
202108 0.9
202109 0.7
202110 0.6
202111 0.8
202112 0.6
202201 0.6
202202 0.7
202203 0.6
202204 0.9
202205 0.5
202206 0.6
202207 0.7
202208 0.8
202209 0.5
202210 0.5
202211 1.1
202212 0.8
202301 0.8
202302 0.7
202303 0.6
202304 0.7
202305 0.8
202306 0.9
