"Rolling_time_month" "q_id_month"
201301 0.6
201302 1.6
201303 1.6
201304 0.7
201305 1.2
201306 1.5
201307 0.7
201308 0.4
201309 0.5
201310 1.3
201311 2.2
201312 1.7
201401 0.5
201402 1.1
201403 0.7
201404 0.4
201405 0.4
201406 1.1
201407 1.2
201408 1
201409 0.8
201410 1
201411 2.2
201412 1
201501 0.5
201502 0.8
201503 0.9
201504 0.8
201505 0.7
201506 0.8
201507 0.8
201508 0.8
201509 1.3
201510 0.5
201511 0.6
201512 0.6
201601 0.7
201602 0.2
201603 1
201604 1
201605 1.1
201606 0.9
201607 0.7
201608 1
201609 0.7
201610 0.7
201611 1.3
201612 0.3
201701 0.7
201702 0.9
201703 0.2
201704 0.7
201705 1.1
201706 0.3
201707 1
201708 0.8
201709 0.6
201710 0.9
201711 0.9
201712 1
201801 0.9
201802 0.4
201803 0.5
201804 1.2
201805 0.9
201806 1.3
201807 0.6
201808 1
201809 1.2
201810 1.3
201811 1.4
201812 1.3
201901 1.1
201902 1.1
201903 1.5
201904 1.3
201905 1
201906 0.6
201907 0.6
201908 0.7
201909 0.4
201910 1.1
201911 1.6
201912 1.3
202001 1.3
202002 1.3
202003 1.7
202004 1.2
202005 1
202006 0.7
202007 1.3
202008 1
202009 0.4
202010 1
202011 0.7
202012 1
202101 0.7
202102 1.9
202103 1.5
202104 1.4
202105 1.9
202106 1
202107 1.2
202108 1.7
202109 2.1
202110 1.2
202111 0.8
202112 1.4
202201 0.6
202202 0.7
202203 0.8
202204 1.3
202205 1.4
202206 2
202207 0.8
202208 1.1
202209 0.7
202210 0.8
202211 1.8
202212 2.8
202301 0.5
202302 1.8
202303 1.2
202304 0.8
202305 0.7
202306 1.3
