"Rolling_time_month" "q_id_month"
201301 0.9
201302 1
201303 1.3
201304 0.7
201305 1
201306 1.2
201307 1.1
201308 0.5
201309 0.7
201310 0.7
201311 1.8
201312 1.6
201401 0.5
201402 1.3
201403 0.7
201404 0.7
201405 0.6
201406 1.2
201407 0.5
201408 1.1
201409 0.5
201410 1
201411 0.9
201412 1.1
201501 0.5
201502 0.7
201503 0.5
201504 0.7
201505 0.8
201506 0.7
201507 0.6
201508 0.9
201509 1
201510 0.7
201511 0.3
201512 0.8
201601 1
201602 0.6
201603 1
201604 1.3
201605 1
201606 1.1
201607 0.7
201608 1.3
201609 0.8
201610 0.8
201611 1.1
201612 0.4
201701 0.7
201702 0.8
201703 0.7
201704 0.9
201705 0.9
201706 0.3
201707 1
201708 1
201709 0.6
201710 0.6
201711 0.4
201712 1.1
201801 0.8
201802 0.8
201803 0.3
201804 0.8
201805 1
201806 0.6
201807 1.1
201808 0.8
201809 0.9
201810 0.9
201811 1.2
201812 1.3
201901 1.4
201902 1.4
201903 2
201904 1.3
201905 1.5
201906 1
201907 1
201908 1.5
201909 1
201910 1.4
201911 1.3
201912 1.5
202001 1.2
202002 1.2
202003 2.2
202004 1.8
202005 1.2
202006 1.3
202007 1.5
202008 1.3
202009 1
202010 1.2
202011 1.8
202012 1.6
202101 1.4
202102 2.7
202103 2
202104 2
202105 1.8
202106 1.5
202107 1.1
202108 2.2
202109 1.9
202110 1.5
202111 1.2
202112 1.1
202201 0.6
202202 1
202203 0.9
202204 1.6
202205 1.1
202206 1.8
202207 0.6
202208 1.2
202209 0.9
202210 1.1
202211 1.2
202212 2.2
202301 1
202302 1.4
202303 1.1
202304 0.9
202305 0.9
202306 1.3
