"","","Optimal","standard","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X2","X2.1","X2.2","X2.3","X2.4","X2.5","X2.6","X2.7","X2.8","X2.9","X3"
"1",0.4,0.646703312899748,0.714494360553795,0.666957514080267,0.654089422119053,0.648496519441181,0.645802315095801,0.644563803532902,0.644153234826405,0.644251301527633,0.644678124566714,0.645324780496248,0.646121674436735,0.647022468306032,0.64799529435249,0.649017664868216,0.650073380708941,0.651150578693051,0.652240456857352,0.653336418396094,0.654433482572663,0.655527870644547,0.656616709337283,0.657697814983117,0.658769534079668,0.65983062398994,0.6608801626429,0.661917479477611,0.662942102144661,0.663953715029129,0.664952126734568,0.665937244424073,0.666909053453881
"2",0.8,0.727942809193206,0.797585591851303,0.749574881497726,0.736229154145113,0.730268384666157,0.72727290733233,0.725776162454869,0.725137443322553,0.725029739960863,0.725268267689928,0.725740795189319,0.726375388178366,0.727123986071231,0.727953408539586,0.728840137896426,0.729767146261724,0.730721889231111,0.731694994582977,0.732679380685765,0.733669649136288,0.734661657312318,0.735652211858516,0.736638845222899,0.737619650327911,0.73859315663725,0.739558236156518,0.740514031382675,0.741459899551707,0.74239536912838,0.743320105588219,0.744233884320627,0.745136569037368
"3",1.2,0.859733928242719,0.929505932915183,0.881301843589054,0.867927121400945,0.862034016429063,0.859146705722461,0.857775900644841,0.85727046859581,0.857298188211207,0.857671546325327,0.858276863181941,0.859041452064293,0.859916891640551,0.860869865598366,0.861876849933161,0.86292088443185,0.863989533113039,0.865073552879716,0.866165999781788,0.867261614342923,0.868356389792935,0.869447263099658,0.870531890219074,0.871608480208506,0.87267567118527,0.873732436490644,0.874778012960026,0.87581184557555,0.876833544398604,0.877842850803177,0.87883961082104,0.879823753972476
"4",1.6,1.02292729645609,1.09271116963742,1.0437066806395,1.030352043759,1.0246852839975,1.02209694786038,1.02105233462485,1.02088119964649,1.02124234076323,1.02194380866526,1.02286973194868,1.02394641149686,1.02512505711193,1.02637234129521,1.02766492731652,1.02898614926701,1.03032391892768,1.0316693627049,1.03301590911775,1.03435866316234,1.03569396836121,1.03701909455825,1.03833201174998,1.03963122389436,1.04091564523587,1.04218450722591,1.04343728776051,1.04467365689848,1.04589343488667,1.04709655946934,1.04828306026686,1.04945303858299
"5",2,1.20448712779602,1.2752458739813,1.22464467910759,1.21120473308945,1.20578761435153,1.20356686908326,1.20293647418934,1.20319641543012,1.20399141566696,1.20512242539812,1.20646991085231,1.20795832556798,1.20953803482572,1.21117543627907,1.2128472458501,1.21453703753615,1.21623306695647,1.21792685792448,1.21961225921159,1.22128480016031,1.22294124141006,1.22457925603575,1.22619719967893,1.22779394253432,1.22936874504186,1.23092116491856,1.23245098696328,1.23395816960901,1.235442803926,1.23690508197295,1.23834527222988,1.23976370043946
"6",2.4,1.39743414294636,1.46992662942488,1.41703415769644,1.40337885198656,1.39818960249617,1.39635460200547,1.39617490609298,1.39691167482529,1.39819112241736,1.39980470700762,1.40162785561616,1.40358234686812,1.40561719022027,1.4076981881445,1.40980190851049,1.41191204162294,1.41401711413277,1.41610900845292,1.41818197780275,1.4202319757151,1.42225619043111,1.42425271592351,1.42622031591036,1.42815825231486,1.4300661591149,1.43194394862513,1.43379174125518,1.43560981246019,1.43739855241443,1.43915843519059,1.4408899951013,1.44259380847937
"7",2.8,1.59729546212088,1.67251740517358,1.61679228017928,1.60280729481522,1.59781447986165,1.59636495494811,1.59665039769163,1.59788618595617,1.59967658480974,1.60180167959675,1.60413075778697,1.60658224750858,1.60910337330352,1.6116590636218,1.61422555464142,1.61678653154387,1.61933071224523,1.62185028644665,1.62433988023637,1.62679585359748,1.62921581441313,1.63159827653307,1.63394241565294,1.63624789279904,1.63851472528518,1.64074319147778,1.64293375994391,1.64508703638412,1.64720372366953,1.64928459162197,1.6513304540973,1.65334215158209
"8",3.2,1.80123947072078,1.88046339056491,1.82149636551191,1.80708991801392,1.8022637469319,1.80119346348156,1.80194909280766,1.80369501915456,1.80601096689506,1.8086642223454,1.81151709158627,1.81448412972359,1.81751043994034,1.82055985421871,1.8236081272628,1.82663883716855,1.82964082345118,1.83260653571096,1.83553094114606,1.83841078554757,1.84124408378801,1.84402976272717,1.84676740738063,1.84945707828723,1.85209917873691,1.85469435740074,1.85724343640846,1.85974735791886,1.86220714426066,1.86462386811785,1.86699863020642,1.86933254257572
"9",3.6,2.00941439021,2.09216839041012,2.02965046277822,2.01475071525664,2.01006583695082,2.00936722503591,2.01059406401897,2.01285583284632,2.01570576336844,2.01889726411738,2.02228501965773,2.02577931213322,2.02932286376241,2.03287823669321,2.03642058596067,2.03993330084402,2.04340528547711,2.04682920955115,2.05020035369699,2.05351583053326,2.05677404925068,2.05997434166771,2.06311669747406,2.06620157459706,2.06922976204924,2.07220227993904,2.07512030611439,2.07798512209623,2.08079807311455,2.08356053853965,2.08627391003036,2.08893957544648
"10",4,2.21997615664021,2.30659760303739,2.24029311736109,2.22484395920964,2.22027954955471,2.21994534299067,2.22164271745993,2.22442327545164,2.22781227031881,2.23154840914645,2.23547826447651,2.2395075376864,2.24357636916307,2.24764591620622,2.25169064140121,2.25569368042323,2.25964395630168,2.26353432637345,2.26736036167841,2.27111952542817,2.27481060985173,2.27843334409913,2.28198811762211,2.2854757828538,2.28889751316953,2.2922546998996,2.29554887725382,2.2987816674013,2.30195474023624,2.30506978392763,2.30812848344094,2.31113250498535
