"Rolling_time_month" "q_id_month"
201301 0.8
201302 1.2
201303 1.3
201304 1.2
201305 1.3
201306 1.3
201307 1.1
201308 1
201309 1.1
201310 0.9
201311 0.8
201312 0.8
201401 0.8
201402 0.6
201403 0.5
201404 0.5
201405 0.6
201406 0.5
201407 0.6
201408 0.6
201409 0.6
201410 0.6
201411 0.7
201412 0.6
201501 0.7
201502 0.7
201503 0.5
201504 0.6
201505 0.6
201506 0.4
201507 0.3
201508 0.4
201509 0.7
201510 0.7
201511 0.5
201512 0.6
201601 0.7
201602 0.7
201603 0.6
201604 0.9
201605 1
201606 0.9
201607 1
201608 1.1
201609 0.9
201610 0.8
201611 0.7
201612 0.8
201701 0.9
201702 0.9
201703 1
201704 0.9
201705 0.9
201706 0.7
201707 0.9
201708 1.1
201709 0.8
201710 1
201711 0.9
201712 0.7
201801 0.8
201802 1.1
201803 0.5
201804 0.6
201805 0.6
201806 0.8
201807 1
201808 1
201809 0.9
201810 1
201811 0.7
201812 0.9
201901 1
201902 1.4
201903 1.7
201904 1.7
201905 1.6
201906 1.5
201907 1.3
201908 1
201909 1.1
201910 1.1
201911 1.7
201912 1.8
202001 1.6
202002 1.6
202003 1.3
202004 1
202005 0.9
202006 0.9
202007 1
202008 1
202009 0.9
202010 1
202011 1.1
202012 0.7
202101 1.7
202102 1.8
202103 1.9
202104 2.7
202105 2.3
202106 2
202107 2
202108 1.6
202109 1.6
202110 1.7
202111 1.3
202112 1.3
202201 1.2
202202 1.1
202203 1.4
202204 1.2
202205 1.2
202206 1.1
202207 0.9
202208 1.1
202209 1
202210 1
202211 1
202212 1.3
202301 1.1
202302 1.1
202303 0.7
202304 0.7
202305 0.9
202306 0.9
