"Rolling_time_month" "q_id_month"
201301 0.6
201302 1.5
201303 1.3
201304 0.8
201305 1.6
201306 1.3
201307 0.6
201308 0.3
201309 0.8
201310 1.3
201311 2.3
201312 1.8
201401 0.3
201402 1.3
201403 0.5
201404 0.3
201405 0.5
201406 1.3
201407 1.5
201408 0.7
201409 0.7
201410 1.1
201411 2.1
201412 0.8
201501 0.6
201502 0.7
201503 1
201504 0.8
201505 0.8
201506 0.7
201507 0.9
201508 0.6
201509 1.3
201510 0.4
201511 1.1
201512 0.6
201601 0.8
201602 0.2
201603 0.9
201604 0.8
201605 1
201606 0.8
201607 0.8
201608 1
201609 0.7
201610 0.9
201611 1.2
201612 0.4
201701 0.7
201702 0.8
201703 0.1
201704 0.7
201705 1.1
201706 0.3
201707 1.1
201708 0.7
201709 0.5
201710 0.8
201711 0.8
201712 0.9
201801 0.9
201802 0.4
201803 0.5
201804 1.2
201805 0.7
201806 1.8
201807 0.5
201808 0.8
201809 1.1
201810 1.2
201811 1.4
201812 0.8
201901 1
201902 0.9
201903 1.3
201904 1.2
201905 1
201906 0.4
201907 0.6
201908 0.7
201909 0.5
201910 0.8
201911 1.4
201912 1.2
202001 1.1
202002 0.9
202003 0.6
202004 0.9
202005 1.1
202006 0.9
202007 1.2
202008 1.3
202009 0.1
202010 1.7
202011 1
202012 1.2
202101 1.5
202102 1.7
202103 1.3
202104 1.1
202105 1.9
202106 1
202107 1.2
202108 1.3
202109 1.2
202110 0.9
202111 0.8
202112 1.2
202201 0.6
202202 0.4
202203 0.6
202204 0.8
202205 1.3
202206 1.6
202207 0.9
202208 1
202209 0.8
202210 0.9
202211 2.7
202212 1.7
202301 0.2
202302 2.4
202303 1.4
202304 1.3
202305 0.5
202306 1.1
