"Rolling_time_month" "q_id_month"
201301 0.8
201302 0.7
201303 1
201304 0.6
201305 1.2
201306 1.1
201307 0.9
201308 0.4
201309 0.9
201310 0.8
201311 1.9
201312 1.3
201401 0.3
201402 1.5
201403 0.6
201404 0.6
201405 0.7
201406 1.1
201407 0.7
201408 0.7
201409 0.4
201410 0.9
201411 0.9
201412 1
201501 0.4
201502 0.7
201503 0.6
201504 0.7
201505 1.2
201506 0.6
201507 0.7
201508 0.6
201509 1.2
201510 0.3
201511 0.8
201512 0.8
201601 0.6
201602 0.2
201603 0.9
201604 1
201605 0.7
201606 0.7
201607 0.6
201608 1
201609 0.9
201610 0.9
201611 0.9
201612 0.5
201701 0.8
201702 0.7
201703 0.5
201704 1
201705 1.1
201706 0.3
201707 0.8
201708 0.8
201709 0.6
201710 0.7
201711 0.7
201712 0.8
201801 0.7
201802 0.5
201803 0.3
201804 0.8
201805 0.7
201806 0.8
201807 1
201808 0.7
201809 0.9
201810 0.8
201811 1.6
201812 0.7
201901 1.4
201902 1.2
201903 1.7
201904 0.9
201905 1.3
201906 0.8
201907 0.8
201908 0.9
201909 0.7
201910 1.1
201911 1.4
201912 1.2
202001 1.1
202002 1
202003 0.7
202004 0.6
202005 0.9
202006 1.3
202007 1.1
202008 1.4
202009 0.7
202010 1.7
202011 1.6
202012 1.3
202101 1.3
202102 1.8
202103 1.6
202104 1.8
202105 1.6
202106 1.5
202107 1.3
202108 1.9
202109 1
202110 1
202111 0.8
202112 0.6
202201 0.5
202202 0.5
202203 0.5
202204 0.8
202205 1
202206 1.4
202207 0.8
202208 1.1
202209 0.8
202210 0.9
202211 1.6
202212 1.9
202301 0.2
202302 1.4
202303 1.2
202304 0.7
202305 0.7
202306 0.8
