"","","Optimal","standard","diag","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X2","X2.1","X2.2","X2.3","X2.4","X2.5","X2.6","X2.7","X2.8","X2.9","X3"
"sd1",201301,1.91803897517012,1.51195295874506,0.018414009952301,1.83019992381064,1.87587828266929,1.89659637979176,1.90766145801914,1.91395104772243,1.9173701423824,1.9190631670719,1.9197233783338,1.91945187431134,1.91855956068576,1.91731462123492,1.91575750640747,1.91398910406034,1.91205628429033,1.91004828631814,1.90800702493255,1.90590423307761,1.90377741680685,1.90166194378117,1.89955150345123,1.89740791521353,1.89527375590624,1.8931543336143,1.89102447021244,1.88890279471664,1.88678574747085,1.88468782465775,1.88261664633615,1.88056391455279,1.87853475817087
"sd2",201307,1.7994064664015,1.46022401751264,0.00157081688867082,1.73990974980309,1.77622258581154,1.79064273541044,1.79765021406868,1.80084336208971,1.80178053513428,1.80148418752454,1.80044664256923,1.79865508173465,1.79638504481161,1.79395529747519,1.79133853100984,1.78858661954504,1.78573817354103,1.78283904764825,1.77998122978811,1.77710137773467,1.77422679347073,1.77137640544528,1.76861029420798,1.76586783124077,1.76314653955479,1.76045214349218,1.75776919567313,1.7551088670902,1.75246972306564,1.74986189350409,1.7472923364841,1.74476898237699,1.74229632051967
"sd1",201401,1.69968232945073,1.40333378661021,-0.00484782149309602,1.65362905334634,1.68597723139529,1.69919140921321,1.70567552435351,1.70857497758334,1.70907558990659,1.70827539791194,1.70684946690363,1.70461261328596,1.70198760447161,1.69920078273504,1.69626033831168,1.69321827106895,1.69011344717512,1.68696478612073,1.68391718435223,1.68087235776769,1.67785683605355,1.67487170757093,1.67194549797633,1.66905043680933,1.666197923411,1.66344255976263,1.66073491963902,1.65805815571777,1.65540188375048,1.65280075429926,1.65024087468263,1.64772884654574,1.64525826246921
"sd2",201407,1.67748647765443,1.3862599236469,-0.00432567844070795,1.63127501366339,1.66450095748908,1.67824121525393,1.68537129069901,1.68881724205565,1.68978954072179,1.68942447476394,1.68839423939064,1.68658534831736,1.68439315850116,1.68197629790951,1.67937211037811,1.67663549532888,1.67380678351921,1.67092543321255,1.66812551551457,1.66531423692421,1.66251473554941,1.65972003524807,1.65696549170958,1.65421757050817,1.65150288559608,1.648885099897,1.64630416519276,1.64375010783277,1.64121791206484,1.6387325245966,1.63628684432551,1.63388964987301,1.63153147479591
"sd1",201501,1.70948768860384,1.3742334098731,-0.025192384269547,1.65758113861357,1.69578891534937,1.71109603578005,1.71900092839434,1.72297899524494,1.72427774191794,1.72414734044496,1.723293354398,1.72161630737698,1.71953134930065,1.71717759435975,1.7146221070048,1.71190856750572,1.70910764995851,1.70624536243326,1.70345484488551,1.70064937024588,1.69782845580318,1.69498308109694,1.69217013773322,1.68935924933788,1.6865678266742,1.68386904906889,1.68119895898157,1.67854880801298,1.67592041599838,1.67333559296072,1.67078745834159,1.66827925447285,1.6658111960972
"sd2",201507,1.68650988783682,1.3221110964667,-0.0116689905553016,1.61497307010976,1.66030040620822,1.68019578338586,1.69123815599195,1.69762052119024,1.70082519749587,1.70228621986986,1.70275231877812,1.70227648028279,1.70129150174753,1.69993105928848,1.69828470354054,1.69639707436358,1.69435701380493,1.69219754808198,1.69005063917876,1.68784054884879,1.68557021122157,1.68322192252811,1.68085919333403,1.67846984948511,1.67607729733693,1.67374657755613,1.67142293236186,1.66910505755818,1.6667901109442,1.6645038091779,1.66224052996232,1.66000342105111,1.65778975910143
"sd1",201601,1.66751743772292,1.31444811932639,-0.0114392785814937,1.60421442132923,1.64903003038553,1.66787037808645,1.67793044724489,1.68355616457857,1.68597403167907,1.68669666937228,1.68649303863724,1.68539844202104,1.68382326815246,1.68190652114367,1.6797238468763,1.67729306673115,1.6747174646721,1.67205191118383,1.6694043609634,1.66669999896769,1.66394642085598,1.66113465097071,1.65831128173148,1.65547286054773,1.65265869049895,1.64991127652618,1.64718771397146,1.64448020777554,1.64179650671691,1.63916133194638,1.63656146965457,1.63399020975561,1.63145567942186
"sd2",201607,1.72374733279823,1.32317731135114,-0.0198394881522989,1.63918328358085,1.693322027994,1.71728142510391,1.73039214595024,1.73815275696086,1.74199579304156,1.74367789579819,1.74412989918293,1.74348136313791,1.74222706102237,1.74046355824384,1.73836118469594,1.7359428931336,1.7332826991686,1.73047032469199,1.72762656408386,1.72469004669018,1.72168918287859,1.7186397478009,1.71555126205604,1.71243123618623,1.70934019946211,1.70632604533239,1.7033404890367,1.70036755670358,1.69742377023439,1.69453122211861,1.691670704807,1.68883656452767,1.68603414179972
"sd1",201701,1.76112164128693,1.33347706035213,-0.00216292783648925,1.67021846445556,1.72770914229305,1.75191042077836,1.76408970847639,1.77079009248146,1.77385616845074,1.77479928466383,1.77444171933334,1.7730611300264,1.77103200610922,1.76848631876389,1.76562157268933,1.76245219828351,1.75906133300405,1.75554573548333,1.75195952200992,1.74829413105622,1.74456250738753,1.74079098859182,1.73700735596119,1.73320971321373,1.72944126845963,1.72570407442705,1.72199688100453,1.71831741569878,1.71469757388981,1.71113162103554,1.70761991266069,1.70414717252468,1.7007166038538
"sd2",201707,1.52239791712471,1.15687176159202,-0.00346281510708965,1.44163134856684,1.4819216774462,1.49930683171932,1.50846895645705,1.51315532593846,1.51484566553368,1.51529608198197,1.5148758932637,1.51354263555647,1.51173266491048,1.50945384794632,1.50688474834606,1.5040317505471,1.50101543315248,1.49788652806277,1.49475173757905,1.4915793850824,1.48841755592765,1.48524530889492,1.4821584176503,1.47907820432875,1.47599901952679,1.47293643707084,1.46989747472138,1.46687662980709,1.4638850560431,1.46094673874614,1.45804927173718,1.45516334280543,1.45229816001608
