"","","Optimal","standard","diag","X0.2","X0.4","X0.6","X0.8","X1","X1.2","X1.4","X1.6","X1.8","X2","X2.2","X2.4","X2.6","X2.8","X3","X3.2","X3.4","X3.6","X3.8","X4","X4.2","X4.4","X4.6","X4.8","X5","X5.2","X5.4","X5.6","X5.8","X6"
"sd1",201301,1.93559832092231,1.8845514304946,1.91867074893706,1.92935388446961,1.93923447053105,1.94059321324946,1.93810531016312,1.93390055888873,1.92874840489114,1.92308577657963,1.91729470766878,1.91148392364152,1.90563685398765,1.89978891708697,1.89400172040103,1.88835217791062,1.88282674614595,1.87739546428157,1.87206878298062,1.86688164213945,1.86183340475358,1.85687348288995,1.85199210848037,1.84721473231346,1.84252412407896,1.83790354654634,1.83335434611643,1.82890243768315,1.82452691597339,1.820227702701,1.81601897707272,1.81188704726456,1.80782168961186
"sd2",201307,1.80926539218101,1.76695358093741,1.78415718899421,1.80384151830841,1.81101702701791,1.81033182964623,1.80647379780934,1.8012819675473,1.7953935871093,1.78914501719559,1.78292262530759,1.77684668291324,1.77083583924933,1.76487422202228,1.75900680574093,1.75331157752169,1.74784571789948,1.7425249644412,1.737359336696,1.73235397221103,1.727487735871,1.72272424901696,1.71804845044727,1.71350965271178,1.70907355286759,1.70471524644961,1.70042723450499,1.69623199183094,1.69210019874315,1.68804506696929,1.68407125606035,1.68017813949372,1.67635542727685
"sd1",201401,1.71251369055274,1.67286780307949,1.68048882491515,1.70337835945611,1.70712132242348,1.70377806726341,1.69792658247522,1.69111995805828,1.68389138945734,1.67634262604002,1.66877973213456,1.66156563379764,1.65455328184039,1.64778109089129,1.64114815549934,1.6347047588643,1.62849206490781,1.62253239274296,1.61673621637699,1.61113890841709,1.6057013756222,1.60039483847867,1.59526359913546,1.59029986192979,1.58546662342366,1.580749964297,1.5761365467688,1.57164041072108,1.56726229215365,1.56298410260953,1.55880931659021,1.55472369176965,1.55071672754611
"sd2",201407,1.69168535324614,1.64552463863223,1.66111087789872,1.68145097295405,1.68819710002553,1.68726748781078,1.68359011960689,1.67864700867038,1.67312965552724,1.66709942658369,1.6608866204688,1.65488091699178,1.64897216028767,1.64322979069884,1.63753170622627,1.63194712277469,1.62650224932487,1.62123421853562,1.61607406842341,1.61105867794909,1.60619063620996,1.60141943151898,1.5967864324183,1.59229082033607,1.5878961698467,1.58359093101783,1.57936210696645,1.57523071292167,1.57119352026056,1.56723521137555,1.56336806190346,1.5595667101131,1.5558258715782
"sd1",201501,1.72237853972805,1.6561221618274,1.69636820417442,1.70341199269725,1.71432689110464,1.71557170003813,1.71324494803307,1.70921626257981,1.70433873938204,1.69882138070068,1.69297549365474,1.68725976361175,1.68158801662279,1.67604197424212,1.67050800164796,1.66504638617164,1.65968131416971,1.65447061637428,1.64935018691494,1.644357100823,1.63949266878073,1.63472057782008,1.63008904874342,1.62558942383439,1.62118261512448,1.61685761379658,1.61260279971662,1.60843740946512,1.60436710764612,1.60037105896642,1.59646066347362,1.59261042972896,1.58881868586935
"sd2",201507,1.71024654240984,1.6382697165484,1.67912801271934,1.68756884339238,1.7005844558801,1.70364999221789,1.70292043644086,1.700192279708,1.69644452596725,1.69188427201329,1.68690413868042,1.68194045867509,1.67694435893644,1.67201153615575,1.66704608020891,1.66210842668469,1.65721424776327,1.65244150035845,1.64772464023169,1.64310152013358,1.63857588312771,1.63412343745894,1.62979751478712,1.62558720371975,1.62145228445926,1.61738243333818,1.61337852250684,1.60945215214832,1.60561124307916,1.6018339684178,1.59812994599302,1.59447837235559,1.59088275927864
"sd1",201601,1.68619397321903,1.64074232601252,1.6670368070921,1.68178320614599,1.69093575449152,1.69155151513975,1.68935107036585,1.68577329191582,1.68162892584094,1.67695098934775,1.6719861019753,1.66712292707217,1.66230290901142,1.65761181534764,1.65294780360788,1.64834124841648,1.64379425184872,1.63938065466919,1.63503172562185,1.63077156073327,1.62660176299052,1.62249977003363,1.61851958058989,1.614641540549,1.61083127561168,1.60708335747299,1.60340094787437,1.59978590861745,1.59624519240966,1.59276093823035,1.58934287054283,1.58597184562445,1.58265224802746
"sd2",201607,1.75327793528834,1.69240749430553,1.74399256012478,1.74263737101309,1.75510421227683,1.75758304705429,1.75664468829768,1.75407885954019,1.75071290076677,1.7466713451795,1.7421464127231,1.73758397231301,1.73299171087056,1.72850412273911,1.72400873841629,1.719524800341,1.71503230078904,1.71063466808141,1.70624602843276,1.70191677853991,1.69764287470312,1.69340596282886,1.6892799466743,1.68522158653425,1.68122399355555,1.6772880882373,1.67342004660428,1.66961199725404,1.66588360365786,1.66221087295356,1.65860499009111,1.65503762948021,1.65151628903392
"sd1",201701,1.78084631785076,1.73103198618187,1.7812780694249,1.77973676671959,1.79117336264009,1.79374130506056,1.79312423649426,1.79094355029364,1.78797106258888,1.78449542023716,1.78074358658882,1.7769141704445,1.77307289676444,1.76925155856172,1.76548061328335,1.76175825840325,1.7580302543502,1.75430226715539,1.75060621488309,1.74692431221445,1.74326353613672,1.73961563635856,1.73599419867964,1.73240726639532,1.7288718313186,1.72538495339674,1.72194712580032,1.71854786474655,1.71518772693488,1.71186801718836,1.70859434460477,1.70535415330628,1.70216047348777
"sd2",201707,1.5561256663776,1.54751141835071,1.56751194062389,1.56137381508126,1.55571726544998,1.54781651232829,1.53907182764277,1.53039395736818,1.52205897306773,1.51377790431195,1.50574247840024,1.49811803198453,1.49095186863991,1.48412056259923,1.47751401631883,1.4711213105726,1.46501098867768,1.45909692539998,1.45338773660036,1.44784712287903,1.44250057988427,1.43729527716413,1.4322044074926,1.4272881364746,1.42258524793404,1.41801214937034,1.41360782411532,1.40930050856323,1.40509499050407,1.40100834872521,1.39703036598793,1.39314214055529,1.38933956456802
"sd1",201801,1.57652132378669,1.57076333080095,1.589110645241,1.58375190170229,1.57695695720777,1.56858079459472,1.5594975788043,1.5505249568409,1.54190263125456,1.53337150571875,1.52512887000018,1.51732130219712,1.50997463445125,1.50297884222385,1.49619518693854,1.48962459073748,1.48334521484855,1.47728697133734,1.47146083291202,1.46581871524378,1.4603719277756,1.45507424390909,1.44989895608167,1.44490515022214,1.44012470375947,1.4354863611574,1.43101921717009,1.42664610843985,1.42237628635322,1.41823168630087,1.41419769505098,1.41025766060322,1.40640554256802
