"Rolling_time_month" "q_id_month"
201301 3
201302 3
201303 3
201304 3
201305 3
201306 3
201307 3
201308 3
201309 3
201310 3
201311 3
201312 3
201401 3
201402 3
201403 3
201404 3
201405 3
201406 3
201407 3
201408 3
201409 0.1
201410 0.1
201411 0.1
201412 3
201501 3
201502 3
201503 3
201504 3
201505 3
201506 3
201507 3
201508 3
201509 3
201510 3
201511 3
201512 3
201601 3
201602 3
201603 3
201604 3
201605 3
201606 3
201607 3
201608 3
201609 3
201610 3
201611 0.1
201612 0.1
201701 0.1
201702 3
201703 3
201704 3
201705 3
201706 3
201707 3
201708 3
201709 3
201710 3
201711 3
201712 3
201801 3
201802 3
201803 3
201804 3
201805 3
201806 3
201807 3
201808 3
201809 3
201810 3
201811 3
201812 3
201901 3
201902 3
201903 3
201904 3
201905 3
201906 3
201907 3
201908 3
201909 3
201910 3
201911 3
201912 3
202001 3
202002 3
202003 3
202004 3
202005 3
202006 0.1
202007 0.1
202008 0.1
202009 3
202010 3
202011 3
202012 0.1
202101 0.1
202102 0.1
202103 0.1
202104 3
202105 3
202106 3
202107 3
202108 3
202109 3
202110 3
202111 3
202112 3
202201 3
202202 3
202203 3
202204 3
202205 3
202206 3
202207 3
202208 3
202209 3
202210 3
202211 3
202212 3
202301 3
202302 3
202303 3
202304 3
202305 3
202306 3
