"","listlambda","SRknown2","SRunknown2"
"1",0.01,0.79779840852161,0.830454736611419
"2",0.05,0.854012944943536,0.888219079097057
"3",0.1,0.895697451106244,0.927860319122959
"4",0.2,0.941366207762853,0.968075287005576
"5",0.4,0.980699754376626,0.999803071790386
"6",0.6,0.99711551645819,1.01205598717385
"7",0.8,1.00520939401465,1.01773832014347
"8",1,1.00948475779726,1.02053104540798
"9",1.2,1.01177093821491,1.02186380191481
"10",1.4,1.0129356739097,1.0223953042516
"11",1.6,1.01343449802219,1.02246412729653
"12",1.8,1.01352428755377,1.02225792266495
"13",2,1.01335775071667,1.02188649097586
"14",2.2,1.01302937432935,1.02141669174969
"15",2.4,1.01259944138081,1.02089044631418
"16",2.6,1.01210732402046,1.020334593811
"17",2.8,1.01157918977374,1.01976655195017
"18",3,1.01103264325446,1.01919769805101
"19",3.2,1.01047961309137,1.01863545504232
"20",3.4,1.00992819686849,1.01808461389319
"21",3.6,1.00938386781484,1.01754819139128
"22",3.8,1.00885027991285,1.01702799741077
"23",4,1.00832981436328,1.01652501625158
"24",4.2,1.00782395602233,1.01603966654173
"25",4.4,1.00733355603203,1.01557198040722
"26",4.6,1.00685901705141,1.01512172813311
"27",4.8,1.00640042510019,1.01468850551959
"28",5,1.00595764411376,1.01427179540477
"29",5.2,1.00553038416266,1.01387101111413
"30",5.4,1.00511825088919,1.01348552715477
"31",5.6,1.00472078143171,1.01311470084119
"32",5.8,1.00433747055471,1.01275788743499
"33",6,1.00396778963382,1.01241445062394
