"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.78073888033886,2.77567460413722
"2",0.4,2.75234087696927,2.74412837239668
"3",0.6,2.7273021813359,2.71612298450271
"4",0.8,2.70562279343875,2.69165844045531
"5",1,2.68730271327781,2.67073474025449
"6",1.2,2.67234194085309,2.65335188390023
"7",1.4,2.66074047616459,2.63950987139254
"8",1.6,2.65249831921231,2.62920870273144
"9",1.8,2.64761546999623,2.62244837791689
"10",2,2.64609192851638,2.61922889694893
"11",2.2,2.64792769477274,2.61955025982753
"12",2.4,2.65312276876532,2.62341246655271
"13",2.6,2.66167715049411,2.63081551712445
"14",2.8,2.67359083995913,2.64175941154277
"15",3,2.68886383716035,2.65624414980766
"16",3.2,2.7074961420978,2.67426973191913
"17",3.4,2.72948775477146,2.69583615787716
"18",3.6,2.75483867518134,2.72094342768176
"19",3.8,2.78354890332743,2.74959154133295
"20",4,2.81561843920975,2.78178049883069
"21",4.2,2.85104728282827,2.81751030017501
"22",4.4,2.88983543418301,2.8567809453659
"23",4.6,2.93198289327397,2.89959243440337
"24",4.8,2.97748966010115,2.9459447672874
"25",5,3.02635573466455,2.99583794401801
"26",5.2,3.07858111696416,3.04927196459518
"27",5.4,3.13416580699998,3.10624682901893
"28",5.6,3.19310980477203,3.16676253728926
"29",5.8,3.25541311028028,3.23081908940615
"30",6,3.32107572352476,3.29841648536963
