"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.39803575535636,3.27630631289629
"2",0.4,3.36938146937129,3.25171484175359
"3",0.6,3.34524832540079,3.23126308362667
"4",0.8,3.32563632344486,3.21495103851553
"5",1,3.3105454635035,3.20277870642023
"6",1.2,3.29997574557672,3.19474608734076
"7",1.4,3.2939271696645,3.1908531812771
"8",1.6,3.29239973576685,3.19109998822917
"9",1.8,3.29539344388378,3.19548650819715
"10",2,3.30290829401528,3.20401274118087
"11",2.2,3.31494428616136,3.21667868718043
"12",2.4,3.331501420322,3.23348434619584
"13",2.6,3.35257969649721,3.254429718227
"14",2.8,3.378179114687,3.27951480327397
"15",3,3.40829967489135,3.30873960133678
"16",3.2,3.44294137711028,3.34210411241539
"17",3.4,3.48210422134378,3.37960833650982
"18",3.6,3.52578820759185,3.42125227362011
"19",3.8,3.57399333585449,3.46703592374608
"20",4,3.62671960613171,3.516959286888
"21",4.2,3.6839670184235,3.57102236304562
"22",4.4,3.74573557272985,3.62922515221908
"23",4.6,3.81202526905078,3.69156765440838
"24",4.8,3.88283610738628,3.75804986961347
"25",5,3.95816808773635,3.82867179783442
"26",5.2,4.03802121010099,3.90343343907111
"27",5.4,4.12239547448021,3.98233479332365
"28",5.6,4.21129088087399,4.06537586059198
"29",5.8,4.30470742928235,4.15255664087615
"30",6,4.40264511970528,4.24387713417618
